item.id,item.name,volume,category,subcategory
1,Stolichnaya Premium 80prf w/2 Stemless Martini Glasses,750,Vodka,Miscellaneous Vodkas
2,Stolichnaya Premium 80prf w/2 Stemless Martini Glasses,750,Vodka,Miscellaneous Vodkas
3,Bushmills 750ml w/Blackbush 50ml,800,Misc,Miscellaneous Liquors
4,Broker's Gin Holiday w/1 Collins Glass,750,Gin,Miscellaneous Gins
5,Broker's Gin Holiday w/1 Collins Glass,750,Gin,Miscellaneous Gins
6,Bushmills Black w/Rubber Ice Ball Molds,750,Whisky,Irish Whiskies
7,Bushmills Black w/Rubber Ice Ball Molds,750,Whisky,Irish Whiskies
8,Midnight Moon Cran-Apple Pie,750,Misc,Miscellaneous Liquors
9,Belvedere Pure Red w/Shaker,750,Vodka,Vodkas
10,Belvedere Pure Red w/Shaker,750,Vodka,Vodkas
11,Crown Royal w/Glass & Coaster,750,Misc,Miscellaneous Liquors
12,Crown Royal w/Glass & Coaster,750,Misc,Miscellaneous Liquors
13,Deep Eddy Vodka w/2 Tin Cups,750,Vodka,Miscellaneous Vodkas
14,Deep Eddy 750ml Vodka w/3-50mls,3600,Vodka,Miscellaneous Vodkas
15,Deep Eddy 750ml Vodka w/3-50mls,3600,Vodka,Miscellaneous Vodkas
16,Deep Eddy 750ml Vodka w/3-50mls,3600,Vodka,Miscellaneous Vodkas
17,Deep Eddy Lemon w/2 Tin Cups,750,Vodka,Vodkas
18,Deep Eddy Lemon w/2 Tin Cups,750,Vodka,Vodkas
19,Deep Eddy Ruby Red w/2 Tin Cups,750,Vodka,Flavored Vodkas
20,Deep Eddy Ruby Red w/2 Tin Cups,750,Vodka,Flavored Vodkas
21,Tequila Rose Holiday w/1 Collins Glass,750,Tequila,Miscellaneous Tequilas
22,Disaronno Party Pack Sour VAP,750,Misc,Miscellaneous Liquors
23,Disaronno Party Pack Sour VAP,750,Misc,Miscellaneous Liquors
24,Disaronno Party Pack Sour VAP,750,Misc,Miscellaneous Liquors
25,Disaronno Party Pack Sour VAP,750,Misc,Miscellaneous Liquors
26,Bird Dog Blackberry w/Glass,750,Misc,Miscellaneous Liquors
27,Casa Noble Crystal w/Cocktail Shaker,750,Misc,Miscellaneous Liquors
28,American Honey w/Mason Jar,750,Misc,Miscellaneous Liquors
29,American Honey w/Mason Jar,750,Misc,Miscellaneous Liquors
30,Pinnacle Vodka w/Punch Dispenser,750,Vodka,Miscellaneous Vodkas
31,Pinnacle Vodka w/Punch Dispenser,750,Vodka,Miscellaneous Vodkas
32,Pinnacle Vodka w/Shaker,750,Vodka,Miscellaneous Vodkas
33,Jack Daniel's TN Fire w/2 Glasses,750,Whisky,Miscellaneous Whiskies
34,Jack Daniel's TN Fire w/2 Glasses,750,Whisky,Miscellaneous Whiskies
35,Chivas Regal 12YR w/50ml Chivas Extra & Chivas 18YR,850,Misc,Miscellaneous Liquors
36,Skyy Core w/4-50mls,950,Vodka,Vodkas
37,Skyy Core w/4-50mls,950,Vodka,Vodkas
38,Hennessy VS Flask,200,Brandy,Grape Brandies
39,Hennessy VS Flask,200,Brandy,Grape Brandies
40,Pinnacle Peach w/ Punch Dispenser,750,Vodka,Flavored Vodkas
41,Pinnacle Peach w/ Punch Dispenser,750,Vodka,Flavored Vodkas
42,Laphroaig w/ Whiskey Stones,750,Whisky,Miscellaneous Whiskies
43,Smirnoff 1.75L Glass w/2-50mls,1850,Vodka,Miscellaneous Vodkas
44,Malibu 50ml Counter Unit,250,Misc,Miscellaneous Liquors
45,Bird Dog Apple w/Glass,750,Misc,Miscellaneous Liquors
46,Jagermeister w/ Mobile Phone Wood Amplifier,750,Misc,Miscellaneous Liquors
47,Jagermeister w/ Mobile Phone Wood Amplifier,750,Misc,Miscellaneous Liquors
48,Calumet Farm Bourbon VAP,750,Whisky,Miscellaneous Whiskies
49,Glenmorangie Original w/ Quinta Ruban & Lasanta,750,Whisky,Miscellaneous Whiskies
50,Glenmorangie Original w/ Quinta Ruban & Lasanta,750,Whisky,Miscellaneous Whiskies
51,Glenmorangie Original w/ Quinta Ruban & Lasanta,2250,Whisky,Miscellaneous Whiskies
52,Jameson w/Fever Tree Ginger Beer,750,Misc,Miscellaneous Liquors
53,Knob Creek w/ Crystal Decanter,1750,Misc,Miscellaneous Liquors
54,Forbidden Secret Coffee Pack,375,Misc,Cordials & Liqueurs
55,Forbidden Secret Coffee Pack,375,Misc,Cordials & Liqueurs
56,Forbidden Secret Coffee Pack,750,Misc,Cordials & Liqueurs
57,Forbidden Secret Coffee Pack,1500,Misc,Cordials & Liqueurs
58,Disaronno Amaretto Cavalli Mignon 3-50ml Pack,150,Amaretto,Miscellaneous Amarettos
59,Disaronno Amaretto Cavalli Mignon 3-50ml Pack,150,Amaretto,Miscellaneous Amarettos
60,Avion Silver w/Powell & Mahoney Margarita Mix,750,Misc,Miscellaneous Liquors
61,"""""""""Rumchata """"""""""""""""GoChatas""""""""""""""""""""""""",6000,Misc,Cream Liqueurs
62,"Rumchata """"""""GoChatas""""""""",6000,Misc,Cream Liqueurs
63,"Rumchata """"""""GoChatas""""""""",6000,Misc,Cream Liqueurs
64,Patron Silver Special Tin,750,Tequila,Miscellaneous Tequilas
65,Patron Silver Special Tin,750,Tequila,Miscellaneous Tequilas
66,Patron Silver Special Tin,750,Tequila,Miscellaneous Tequilas
67,Ardbeg 10YR Warehouse Gift Box,750,Misc,Miscellaneous Liquors
68,Glenmorangie Original w/ 2 Glasses,750,Whisky,Miscellaneous Whiskies
69,Templeton Rye w/Flask,750,Misc,Miscellaneous Liquors
70,Templeton Rye w/Flask,750,Misc,Miscellaneous Liquors
71,Templeton Rye w/Flask,750,Misc,Miscellaneous Liquors
72,Jack Daniel's  4YR Rye Single Barrel,750,Whisky,Miscellaneous Whiskies
73,Jack Daniel's 4YR Rye Single Barrel,750,Whisky,Miscellaneous Whiskies
74,Crown Royal Tailgate Pack w/2 Reusable Glasses,750,Misc,Miscellaneous Liquors
75,Crystal Head w/Shaker,750,Misc,Miscellaneous Liquors
76,Wyborowa Vodka w/2 Shot Glasses,750,Vodka,Miscellaneous Vodkas
77,Absolut with Ginger Beer,750,Misc,Miscellaneous Liquors
78,Itty Bitty Juggs Sample Pack,200,Misc,Cordials & Liqueurs
79,Itty Bitty Juggs Sample Pack,200,Misc,Cordials & Liqueurs
80,Itty Bitty Juggs Sample Pack,200,Misc,Cordials & Liqueurs
81,Bailey's Original Irish Cream Multi Pack,200,Misc,Miscellaneous Liquors
82,Remy V w/Glass,750,Misc,Miscellaneous Liquors
83,Jack Daniels TN Honey & Jack Daniels TN Fire 750mls w/2Gls,1500,Whisky,Miscellaneous Whiskies
84,Licor 43 w/2 Cocktail Glasses,750,Misc,Miscellaneous Liquors
85,Kinky Vodka Martini Pack,3600,Vodka,Miscellaneous Vodkas
86,Skyy Bundle Up,750,Vodka,Vodkas
87,Skyy Bundle Up,750,Vodka,Vodkas
88,Blackheart Playboy Edition,750,Misc,Miscellaneous Liquors
89,Cointreau w/ Lime Squeezer,750,Misc,Miscellaneous Liquors
90,Crown Royal w/2 Glasses Tray Pack,1750,Misc,Miscellaneous Liquors
91,Bailey's Original Irish Cream w/4 Shot Glasses,750,Misc,Miscellaneous Liquors
92,Bird Dog Bourbon w/4-50mls,950,Whisky,Miscellaneous Whiskies
93,Bird Dog Peach w/2 Shot Glasses,750,Misc,Miscellaneous Liquors
94,Bird Dog Peach w/4-50mls,950,Misc,Miscellaneous Liquors
95,Bird Dog Peach w/ BBQ Sauce,750,Misc,Miscellaneous Liquors
96,Basil Hayden w/ Shaker,750,Misc,Miscellaneous Liquors
97,Disaronno Amaretto Cavalli w/2 Glasses,750,Misc,Miscellaneous Liquors
98,Jim Beam w/ Barbecue Sauce,750,Whisky,Straight Bourbon Whiskies
99,Jim Beam w/ Barbecue Sauce,750,Whisky,Straight Bourbon Whiskies
100,Jim Beam w/3-50mls,900,Misc,Miscellaneous Liquors
101,Jim Beam Black w/4-50mls,950,Misc,Miscellaneous Liquors
102,Jim Beam Black w/Grill Mitt,750,Misc,Miscellaneous Liquors
103,Jim Beam White Triage,750,Misc,Miscellaneous Liquors
104,Jim Beam White w/3-50mls,750,Misc,Miscellaneous Liquors
105,Jim Beam Black w/2 Glasses,750,Misc,Miscellaneous Liquors
106,Jim Beam Black w/2 Glasses,750,Misc,Miscellaneous Liquors
107,Jim Beam Black w/2 Glasses,750,Misc,Miscellaneous Liquors
108,Jim Beam White w/Sports Glasses,750,Misc,Miscellaneous Liquors
109,Jim Beam White w/2 Glasses,750,Misc,Miscellaneous Liquors
110,Jim Beam White w/2 Glasses,750,Misc,Miscellaneous Liquors
111,Jim Beam White w/2 Glasses,750,Misc,Miscellaneous Liquors
112,Jim Beam White w/2 Glasses,750,Misc,Miscellaneous Liquors
113,Knob Creek w/Glasses,750,Misc,Miscellaneous Liquors
114,Knob Creek w/Glasses,750,Misc,Miscellaneous Liquors
115,Knob Creek w/Glasses,750,Misc,Miscellaneous Liquors
116,Knob Creek w/2 Whiskey Stones,750,Whisky,Miscellaneous Whiskies
117,Knob Creek w/2-50mls,850,Misc,Miscellaneous Liquors
118,Maker's Mark Co-Pack,750,Misc,Miscellaneous Liquors
119,Maker's Mark Co-Pack,750,Misc,Miscellaneous Liquors
120,Maker's Mark Co-Pack,750,Misc,Miscellaneous Liquors
121,Glen Moray Elgin Classic Whiskey w/2 Glasses,750,Whisky,Miscellaneous Whiskies
122,Glenmorangie Pioneer Pack,850,Whisky,Single Malt Scotch
123,Glenmorangie Pioneer Pack,850,Whisky,Single Malt Scotch
124,Glenmorangie Pioneer Pack,2550,Whisky,Single Malt Scotch
